supplier,invoices,spend,first_seen,last_seen,dext_line_items
Independent Liquor Group,475,821418.93,2021-09-29,2026-07-14,0/6
Foodlink Australia,2092,819412.00,2021-09-30,2026-07-16,6/6
Uber Eats,304,714012.44,2021-11-01,2026-10-05,0/6
Torino Food Service,393,507604.58,2021-10-01,2024-07-29,6/6
Andrews Meat Industry,1383,338393.12,2021-10-04,2026-07-11,6/6
Select Fresh Providores,2852,302013.39,2022-09-16,2026-07-15,0/6
ME&U (Mr Yum) Service Fees,59,299812.24,2021-01-31,2026-07-05,0/6
Gulli Food Distributors Pty Ltd,253,298129.68,2024-08-02,2026-07-13,0/6
The Construction Team,15,292531.53,2024-09-02,2024-12-09,0/6
Momentum Energy,59,213378.75,2023-04-26,2026-01-29,0/6
Winestock,166,208640.69,2021-09-30,2024-04-15,5/6
ILG Distribution Co-Op Ltd,19,182346.82,2021-09-30,2026-03-26,1/6
Paramount Liquor,329,171019.25,2022-03-17,2026-07-14,0/6
The Grifter Brewing Co,261,167326.39,2021-10-05,2026-07-14,6/6
Farmer Joe's Chicken,442,131652.00,2021-10-02,2024-11-16,6/6
Lion Beer Spirits & Wine,174,121636.11,2023-08-30,2026-07-14,0/6
Gateway Liquor Wholesalers,113,99523.00,2021-10-06,2023-04-27,4/6
Alinta Energy,22,90816.69,2023-08-08,2026-05-08,0/6
Energy Australia,24,78860.55,2021-10-26,2023-08-24,0/6
Philter Brewing,187,76478.00,2021-12-17,2026-07-06,0/6
M & J Chickens,447,75400.91,2024-11-19,2026-03-05,0/6
Stone & Wood,88,75271.47,2021-10-14,2023-08-22,1/6
Nelson Wine Company NSW,157,74333.84,2023-02-07,2026-07-13,0/6
Cookers Bulk Oils,223,71320.60,2021-09-29,2026-02-23,6/6
Aquarius Fisheries Pty Ltd,191,70138.00,2021-10-07,2026-05-29,6/6
Bacchus Wine Merchants (SB),136,68320.67,2024-04-24,2026-07-13,0/6
Viticult,146,68177.53,2021-10-01,2026-07-13,0/6
Leos Fruit & Veg,500,68120.42,2021-11-01,2022-12-30,
Stowaway Freshwater,7,66785.41,2022-02-09,2026-06-12,
Amanda Stowaway,8,64175.73,2022-04-11,2022-08-24,
B&E Foods,126,63951.99,2026-03-03,2026-07-16,6/6
Mountain Culture Pty Ltd,136,58087.06,2021-10-26,2026-07-15,
Just Eat Takeaway (Menulog) DNU,182,57716.00,2021-11-07,2025-11-30,
No Sweat Cleaning,169,55792.00,2022-08-09,2026-02-01,
Reward Hospitality,224,53163.36,2021-10-06,2026-06-18,
Cerbaco Distribution,80,52189.37,2023-04-24,2026-02-18,
Owners Corporation,12,47132.66,2021-11-05,2023-02-05,
Veronton,97,42463.75,2023-03-02,2025-12-09,
Synergistic Business Partners,9,41401.00,2024-06-30,2026-03-31,
Donna The Bookkeeper,107,40163.00,2021-10-28,2026-07-09,
Sun Circle Food Manufacturing,61,39454.00,2025-02-20,2026-07-16,
C & M Stainless Fabrications,6,38731.00,2024-10-04,2024-11-27,
Freshwater Supamart,1442,34533.92,2021-12-04,2026-07-16,
Unknown Supplier,37,33851.59,2021-08-11,2026-06-15,
Imbibo,74,28774.39,2021-10-07,2026-03-31,
Paula Eduarda Fortes Tarrago,60,28750.00,2024-11-20,2025-12-28,
Foodistribute,67,28316.50,2022-03-15,2026-05-19,
Leo's Wholesale Fruit & Veg,231,28305.74,2021-10-01,2022-02-15,
Department of Home Affairs,9,27861.18,2022-09-23,2026-03-30,
Telstra,100,27703.57,2021-11-09,2026-07-09,
4 Pines Brewing Company,90,27561.46,2021-10-27,2025-09-16,
Captains of Trade,41,26921.50,2021-10-01,,
